Tanggal,Nama_Barang,Jumlah_Barang,Satuan
9/1/2023,Indomie Goreng,20,Dus
9/1/2023,Minyak Sovia Pouch 2 Liter,15,Dus
9/1/2023,Beras SIIP 5 Kg,20,Dus
9/1/2023,Kapal Api Tanpa Gula Sachet,5,Dus
9/1/2023,Minyak Kita Pouch 1 Liter,2,Dus
9/1/2023,Minyak Kita Pouch 2 Liter,1,Dus
9/2/2023,Minyak Rizki Botol 900gr,150,Dus
9/2/2023,Minyak Tropikal botol 2 Liter,230,Dus
9/2/2023,Indocafe Mix,1,Dus
9/2/2023,Minyak Kita Pouch 2 Liter,3,Dus
9/2/2023,Gula Gmp 1 Kg,50,Dus
9/2/2023,Beras Sania 5 Kg,30,Dus
9/2/2023,Minyak Rizki Botol 900gr,50,Dus
9/2/2023,Indomie Goreng,50,Dus
9/2/2023,Indomie Soto ,100,Dus
9/2/2023,Indomie Soto ,25,Dus
9/3/2023,Sun Kara,20,Dus
9/3/2023,Indomie Kari Ayam,15,Dus
9/3/2023,Minyak Kita Pouch 1 Liter,2,Dus
9/3/2023,Minyak Kita Pouch 2 Liter,1,Dus
9/4/2023,Minyak Sovia Pouch 2 Liter,100,Dus
9/4/2023,Indomie Soto ,50,Dus
9/4/2023,Sun Kara,150,Dus
9/4/2023,Minyak Kita Pouch 2 Liter,50,Dus
9/4/2023,Minyak Kita Botol 2 Liter,50,Dus
9/4/2023,Minyak Kita Pouch 1 Liter,3,Dus
9/4/2023,Minyak Kita Pouch 2 Liter,2,Dus
9/4/2023,Abc Susu,3,Dus
9/4/2023,Beras Sania 5 Kg,10,Dus
9/4/2023,Sun Kara,5,Dus
9/5/2023,Minyak Kita Pouch 1 Liter,2,Dus
9/5/2023,Minyak Kita Pouch 2 Liter,2,Dus
9/5/2023,Beras Sania 5 Kg,2,Dus
9/5/2023,Minyak Rizki Botol 900gr,50,Dus
9/5/2023,Minyak Rizki Botol 900gr,15,Dus
9/5/2023,Minyak Tropikal botol 1 Liter,10,Dus
9/5/2023,Indomie Goreng,3,Dus
9/5/2023,Indomie Soto ,2,Dus
9/5/2023,Indomie Goreng,25,Dus
9/5/2023,Minyak Sovia Pouch 2 Liter,10,Dus
9/5/2023,Minyak Kita Pouch 1 Liter,2,Dus
9/5/2023,Minyak Kita Pouch 2 Liter,1,Dus
9/5/2023,Sun Kara,35,Dus
9/6/2023,Sun Kara,15,Dus
9/6/2023,Gula Gmp 1 Kg,20,Dus
9/6/2023,Minyak Sovia Pouch 2 Liter,10,Dus
9/6/2023,Minyak Tropikal botol 1 Liter,5,Dus
9/6/2023,Indomie Kari Ayam,15,Dus
9/6/2023,Indomie Soto ,10,Dus
9/6/2023,Indomie Soto ,30,Dus
9/6/2023,Sun Kara,20,Dus
9/6/2023,Indomie Kari Ayam,1,Dus
9/6/2023,Gula Gmp 1 Kg,30,Dus
9/6/2023,Minyak Sovia Pouch 2 Liter,25,Dus
9/6/2023,Indomie Soto ,10,Dus
9/6/2023,Sun Kara,25,Dus
9/7/2023,Minyak Kita Pouch 2 Liter,10,Dus
9/7/2023,Minyak Kita Botol 1 Liter,2,Dus
9/7/2023,Gula Gmp 1 Kg,1,Dus
9/7/2023,Abc Susu,35,Dus
9/7/2023,Beras Sania 5 Kg,15,Dus
9/7/2023,Minyak Kita Botol 2 Liter,20,Dus
9/7/2023,Minyak Rizki Botol 900gr,2,Dus
9/7/2023,Indomie Soto ,1,Dus
9/7/2023,Minyak Sania Pouch 1 Liter,15,Dus
9/7/2023,Minyak Sam Sam 1 Liter,15,Dus
9/7/2023,Indomie Kari Ayam,3,Dus
9/8/2023,Indomie Soto ,3,Dus
9/8/2023,Beras Sania 5 Kg,20,Dus
9/8/2023,Minyak Rizki Botol 900gr,10,Dus
9/8/2023,Gula Gmp 1 Kg,1,Dus
9/8/2023,Minyak Kita Pouch 1 Liter,10,Dus
9/8/2023,Minyak Kita Pouch 2 Liter,20,Dus
9/8/2023,Minyak Kita Pouch 1 Liter,10,Dus
9/8/2023,Minyak Kita Pouch 2 Liter,2,Dus
9/8/2023,Minyak Kita Pouch 1 Liter,2,Dus
9/8/2023,Minyak Kita Pouch 2 Liter,2,Dus
9/8/2023,Indomie Ayam Bawang,5,Dus
9/9/2023,Sun Kara,5,Dus
9/9/2023,Minyak Tropikal botol 1 Liter,2,Dus
9/9/2023,Indomie Goreng,20,Dus
9/9/2023,Minyak Kita Botol 2 Liter,15,Dus
9/9/2023,Minyak Sam Sam 1 Liter,10,Dus
9/9/2023,Sun Kara,2,Dus
9/9/2023,Kapal Api Mix Sachet,1,Dus
9/9/2023,Gula Gmp 1 Kg,15,Dus
9/9/2023,Minyak Sania Pouch 1 Liter,20,Dus
9/9/2023,Minyak Rizki Botol 900gr,15,Dus
9/9/2023,Minyak Tropikal botol 1 Liter,35,Dus
9/10/2023,Indomie Soto ,50,Dus
9/10/2023,Sun Kara,50,Dus
9/10/2023,Indomie Kari Ayam,50,Dus
9/10/2023,Minyak Kita Pouch 1 Liter,25,Dus
9/10/2023,Gula Gmp 1 Kg,30,Dus
9/11/2023,Beras Sania 5 Kg,10,Dus
9/11/2023,Minyak Rizki Botol 900gr,15,Dus
9/11/2023,Indomie Goreng,5,Dus
9/11/2023,Gula Gmp 1 Kg,10,Dus
9/11/2023,Minyak Kita Botol 1 Liter,10,Dus
9/11/2023,Sun Kara,2,Dus
9/11/2023,Minyak Kita Botol 1 Liter,1,Dus
9/11/2023,Indomie Goreng,15,Dus
9/11/2023,Indomie Soto ,10,Dus
9/12/2023,0,0,Dus
9/13/2023,0,0,Dus
9/14/2023,0,0,Dus
9/15/2023,Minyak Kita Pouch 1 Liter,20,Dus
9/15/2023,Gula Gmp 1 Kg,35,Dus
9/15/2023,Minyak Sovia Pouch 2 Liter,20,Dus
9/15/2023,Indomie Soto ,35,Dus
9/15/2023,Sun Kara,10,Dus
9/15/2023,Minyak Kuncimas 2 Liter,3,Dus
9/15/2023,Minyak Sunco Pouch 2 Liter,2,Dus
9/15/2023,Minyak Kita Pouch 2 Liter,25,Dus
9/15/2023,Minyak Kita Pouch 2 Liter,25,Dus
9/15/2023,Indomie Goreng,30,Dus
9/15/2023,Indomie Ayam Bawang,15,Dus
9/16/2023,Indomie Goreng,5,Dus
9/16/2023,Indomie Soto ,5,Dus
9/16/2023,Minyak Sania Pouch 1 Liter,10,Dus
9/16/2023,Minyak Sam Sam 1 Liter,30,Dus
9/16/2023,Minyak Rizki Botol 900gr,10,Dus
9/16/2023,Abc Susu,20,Dus
9/16/2023,Indomie Ayam Bawang,4,Dus
9/16/2023,Minyak Kita Pouch 2 Liter,2,Dus
9/16/2023,Minyak Kita Pouch 1 Liter,3,Dus
9/16/2023,Minyak Kita Pouch 1 Liter,15,Dus
9/16/2023,Minyak Kita Pouch 2 Liter,10,Dus
9/16/2023,Terigu Segitiga Ekonomis 1/2 kg,15,Dus
9/17/2023,Minyak Kita Pouch 1 Liter,50,Dus
