Tanggal ,Nama Barang,Jumlah
11/1/2023,Minyak Kita Pouch 1 Liter,30
11/1/2023,Minyak Kita Pouch 2 Liter ,30
11/1/2023,Minyak Rizki Botol 900 gr,20
11/1/2023,Kapal Api Mix sachet,16
11/1/2023,Indomie Goreng ,50
11/1/2023,Minyak Kita Pouch 2 Liter ,30
11/1/2023,Minyak Kita Botol 1 Liter ,20
11/2/2023,Indomie Ayam Bawang,3
11/2/2023,Minyak Kita Pouch 1 Liter,2
11/2/2023,Terigu Segitiga Ekonomis1/2 Kg,3
11/2/2023,Minyak Sania Pouch 1 Liter,100
11/2/2023,Minyak Sam Sam 900 Ml,50
11/2/2023,Indomie Kari Ayam ,35
11/2/2023,Indomie Soto,50
11/2/2023,Minyak Kita Pouch 2 Liter ,2
11/3/2023,Gula Gmp 1 Kg ,2
11/3/2023,Minyak Kita Botol 1 Liter ,3
11/3/2023,Minyak Kita Botol 2 Liter,2
11/3/2023,Minyak Kita Pouch 1 Liter,1
11/3/2023,Minyak Kita Pouch 2 Liter ,1
11/3/2023,Minyak Tropikal Botol 2 Liter ,50
11/3/2023,Minyak Rizki Botol 900 gr,100
11/3/2023,Indomie Kari Ayam ,50
11/3/2023,Gula Gmp 1 Kg ,1
11/4/2023,Minyak Sunco Pouch 2 Liter,31
11/4/2023,Rosebrand 1 Kg,20
11/4/2023,Terigu Kunci Biru 1 Kg,10
11/4/2023,Minyak Sovia Pouch 2 Liter ,25
11/4/2023,Minyak Sovia Pouch 1 Liter ,30
11/4/2023,Minyak Bimoli Botol 2 Liter,9
11/4/2023,Terigu Segitiga Ekonomis1/2 Kg,5
11/4/2023,Gula Psm 1 Kg,1
11/5/2023,Minyak Kita Pouch 2 Liter ,15
11/5/2023,Minyak Kita Botol 1 Liter ,20
11/5/2023,Gula Gmp 1 Kg ,25
11/5/2023,Beras SIIP 5 Kg ,2
11/5/2023,Minyak Kita Pouch 2 Liter ,2
11/5/2023,Indomie Goreng ,3
11/5/2023,Indomie Kari Ayam ,30
11/5/2023,Indomie Soto,50
11/5/2023,Minyak Kita Botol 1 Liter ,50
11/5/2023,Minyak Kita Botol 2 Liter,30
11/5/2023,Minyak Rizki Botol 900 gr,50
11/6/2023,Minyak Tropikal Botol 2 Liter ,50
11/6/2023,Minyak Rizki Botol 900 gr,50
11/6/2023,Indomie Kari Ayam ,60
11/6/2023,Minyak Kita Botol 1 Liter ,2
11/6/2023,Minyak Kita Botol 2 Liter,1
11/6/2023,Sun Kara ,30
11/6/2023,Gulaku 1 Kg,30
11/6/2023,Indomie Kari Ayam ,50
11/6/2023,Abc Susu,25
11/6/2023,Beras Sania 5 Kg,20
11/7/2023,Minyak Kita Pouch 1 Liter,3
11/7/2023,Minyak Kita Pouch 2 Liter ,2
11/7/2023,Sun Kara ,2
11/7/2023,Indocafe Mix ,2
